+--------+--------+--------+---------------------+---------+-------------+
| slot1  | slot2  | slot3  |       outcome       | created | occurrences |
+--------+--------+--------+---------------------+---------+-------------+
| prizm  | square |  pall  |         0.2         |    1    |     (1,)    |
|  pall  | blank  | square |         0.2         |    2    |     (2,)    |
| square | prizm  | trape  | 0.14285714285714285 |    3    |     (3,)    |
|  pall  |  pall  |  pall  | 0.14285714285714285 |    4    |     (4,)    |
| trape  | prizm  | prizm  | 0.14285714285714285 |    5    |     (5,)    |
| trape  |  pall  |  pall  |         0.2         |    6    |     (6,)    |
|  tri   |  tri   |  tri   |  0.3333333333333333 |    7    |     (7,)    |
| square |  tri   |  pall  |  0.3333333333333333 |    8    |     (8,)    |
| prizm  | blank  | square |  0.3333333333333333 |    9    |     (9,)    |
|  tri   | prizm  | square |         0.2         |    10   |    (10,)    |
|  tri   | trape  | trape  | 0.14285714285714285 |    11   |    (11,)    |
| square |  pall  |  pall  |  0.1111111111111111 |    12   |    (12,)    |
|  pall  | prizm  |  tri   | 0.14285714285714285 |    13   |    (13,)    |
| trape  | prizm  | trape  |  0.1111111111111111 |    14   |    (14,)    |
|  pall  | prizm  |  pall  |  0.1111111111111111 |    15   |    (15,)    |
|  pall  | prizm  | blank  | 0.09090909090909091 |    16   |    (16,)    |
|  tri   | trape  | blank  |  0.1111111111111111 |    17   |    (17,)    |
|  pall  | prizm  | trape  |  0.1111111111111111 |    18   |    (18,)    |
|  tri   | blank  |  pall  |  0.1111111111111111 |    19   |    (19,)    |
|  tri   | trape  | prizm  |  0.1111111111111111 |    20   |    (20,)    |
| blank  | trape  |  pall  |  0.1111111111111111 |    21   |    (21,)    |
| square | prizm  |  pall  |  0.1111111111111111 |    22   |    (22,)    |
|  pall  |  pall  | trape  |  0.1111111111111111 |    23   |    (23,)    |
| square |  tri   | square | 0.14285714285714285 |    24   |    (24,)    |
| prizm  |  pall  | trape  |  0.1111111111111111 |    25   |    (25,)    |
|  tri   | blank  | square |  0.1111111111111111 |    26   |    (26,)    |
| prizm  |  pall  | prizm  |  0.1111111111111111 |    27   |    (27,)    |
| prizm  | prizm  | square |  0.1111111111111111 |    28   |    (28,)    |
| square | trape  |  tri   |  0.1111111111111111 |    29   |    (29,)    |
| square | blank  |  tri   | 0.14285714285714285 |    30   |    (30,)    |
| square |  pall  | square | 0.14285714285714285 |    31   |    (31,)    |
|  tri   | trape  |  tri   |         0.2         |    32   |    (32,)    |
| trape  | square | square | 0.14285714285714285 |    33   |    (33,)    |
|  pall  | square |  pall  | 0.14285714285714285 |    34   |    (34,)    |
| prizm  | prizm  |  tri   | 0.14285714285714285 |    35   |    (35,)    |
| blank  | square | blank  |         0.2         |    36   |    (36,)    |
| prizm  |  pall  |  tri   |         0.2         |    37   |    (37,)    |
| trape  | prizm  |  pall  | 0.14285714285714285 |    38   |    (38,)    |
| prizm  |  tri   | trape  | 0.14285714285714285 |    39   |    (39,)    |
|  tri   |  tri   | trape  | 0.14285714285714285 |    40   |    (40,)    |
|  pall  |  tri   | blank  |         0.2         |    41   |    (41,)    |
|  tri   | blank  | trape  |         0.2         |    42   |    (42,)    |
| blank  |  tri   |  pall  |         0.2         |    43   |    (43,)    |
| blank  | blank  | trape  |  0.3333333333333333 |    44   |    (44,)    |
| blank  | trape  | blank  |  0.3333333333333333 |    45   |    (45,)    |
| prizm  | trape  |  tri   |         1.0         |    46   |    (46,)    |
| trape  | trape  | square |  0.3333333333333333 |    47   |    (47,)    |
|  tri   | prizm  | trape  |  0.3333333333333333 |    48   |    (48,)    |
| blank  | blank  | square |  0.3333333333333333 |    49   |    (49,)    |
|  pall  | trape  | square |  0.3333333333333333 |    50   |    (50,)    |
|  pall  |  tri   |  tri   |         1.0         |    51   |    (51,)    |
| blank  | square |  tri   |  0.3333333333333333 |    52   |    (52,)    |
| square |  tri   | prizm  |         1.0         |    53   |    (53,)    |
| blank  | blank  | prizm  |  0.3333333333333333 |    54   |    (54,)    |
| prizm  |  tri   | square |         0.2         |    55   |    (55,)    |
|  pall  | square | blank  |         0.2         |    56   |    (56,)    |
|  pall  | trape  | blank  |         0.2         |    57   |    (57,)    |
|  pall  | trape  |  pall  |  0.3333333333333333 |    58   |    (58,)    |
| blank  | prizm  |  tri   |         0.2         |    59   |    (59,)    |
| blank  | square |  pall  |  0.3333333333333333 |    60   |    (60,)    |
| square | blank  | prizm  |  0.3333333333333333 |    61   |    (61,)    |
|  tri   |  tri   | square |  0.3333333333333333 |    62   |    (62,)    |
| prizm  | square |  tri   |         0.2         |    63   |    (63,)    |
| blank  |  pall  | trape  |         0.2         |    64   |    (64,)    |
|  tri   |  pall  | square | 0.14285714285714285 |    65   |    (65,)    |
| blank  | prizm  | square |         0.2         |    66   |    (66,)    |
| prizm  |  tri   | blank  |         0.2         |    67   |    (67,)    |
| prizm  | blank  |  pall  |         0.2         |    68   |    (68,)    |
| trape  | blank  | prizm  |  0.3333333333333333 |    69   |    (69,)    |
| trape  | trape  | blank  |         0.2         |    70   |    (70,)    |
| trape  |  tri   | prizm  |         0.2         |    71   |    (71,)    |
| prizm  | trape  | prizm  |         0.2         |    72   |    (72,)    |
| blank  | blank  | blank  | 0.14285714285714285 |    73   |    (73,)    |
|  tri   | prizm  | prizm  | 0.14285714285714285 |    74   |    (74,)    |
| trape  | trape  |  tri   | 0.14285714285714285 |    75   |    (75,)    |
|  tri   |  tri   | blank  |         0.2         |    76   |    (76,)    |
| blank  | trape  |  tri   |         0.2         |    77   |    (77,)    |
|  tri   |  pall  |  tri   |         0.2         |    78   |    (78,)    |
|  tri   | square | trape  |         0.2         |    79   |    (79,)    |
| square |  pall  | prizm  |         0.2         |    80   |    (80,)    |
|  tri   | prizm  | blank  |         0.2         |    81   |    (81,)    |
| prizm  | blank  | trape  |  0.3333333333333333 |    82   |    (82,)    |
| square | trape  | trape  |  0.3333333333333333 |    83   |    (83,)    |
| blank  |  tri   | square |         1.0         |    84   |    (84,)    |
| blank  |  tri   | blank  |  0.3333333333333333 |    85   |    (85,)    |
| square |  tri   | trape  |  0.3333333333333333 |    86   |    (86,)    |
|  tri   | trape  | square |  0.3333333333333333 |    87   |    (87,)    |
| square | prizm  | square |  0.3333333333333333 |    88   |    (88,)    |
| trape  | square | blank  |         1.0         |    89   |    (89,)    |
| prizm  |  tri   |  tri   |  0.3333333333333333 |    90   |    (90,)    |
| square | trape  |  pall  |  0.3333333333333333 |    91   |    (91,)    |
|  tri   | square | blank  |         0.2         |    92   |    (92,)    |
| square | blank  |  pall  |         0.2         |    93   |    (93,)    |
| prizm  | blank  | prizm  |  0.3333333333333333 |    94   |    (94,)    |
| blank  | trape  | trape  |  0.3333333333333333 |    95   |    (95,)    |
| blank  |  tri   | prizm  |  0.3333333333333333 |    96   |    (96,)    |
| square | square | trape  |  0.3333333333333333 |    97   |    (97,)    |
|  pall  |  pall  | square |         1.0         |    98   |    (98,)    |
| square | blank  | trape  |  0.3333333333333333 |    99   |    (99,)    |
| prizm  | blank  | blank  |         0.2         |   100   |    (100,)   |
+--------+--------+--------+---------------------+---------+-------------+
